COD_IBGE;MUNICIPIO;COD_REGIAO_COVID;REGIAO_COVID;BAIRRO;QUANTIDADE_CASOS
430060;ALVORADA;7;PORTO ALEGRE - R10;BOM SAMARITANO;1
430060;ALVORADA;7;PORTO ALEGRE - R10;BOM SUCESSO;1
430060;ALVORADA;7;PORTO ALEGRE - R10;CAIXOUMBU;1
430060;ALVORADA;7;PORTO ALEGRE - R10;CAMINHO DO MEIO;2
430060;ALVORADA;7;PORTO ALEGRE - R10;CAMPOS VERDE;4
430060;ALVORADA;7;PORTO ALEGRE - R10;CAMPOS VERDES;142
430060;ALVORADA;7;PORTO ALEGRE - R10;CAMPOS VRDES;1
430060;ALVORADA;7;PORTO ALEGRE - R10;CARLOS GOMES;1
430060;ALVORADA;7;PORTO ALEGRE - R10;CASA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;CASANOVA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;CASCATA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;CASEAMBU;1
430060;ALVORADA;7;PORTO ALEGRE - R10;CAXAMBU;23
430060;ALVORADA;7;PORTO ALEGRE - R10;CECILIA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;CEDRO;48
430060;ALVORADA;7;PORTO ALEGRE - R10;CEFER II;1
430060;ALVORADA;7;PORTO ALEGRE - R10;CENDRO;1
430060;ALVORADA;7;PORTO ALEGRE - R10;CENTRAL;2
430060;ALVORADA;7;PORTO ALEGRE - R10;CENTRO;61
430060;ALVORADA;7;PORTO ALEGRE - R10;CENTRO HISTORICO;3
430060;ALVORADA;7;PORTO ALEGRE - R10;CENTRO MARIA REGINA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;CHACARA DO TORDILHO;4
430060;ALVORADA;7;PORTO ALEGRE - R10;CHACARA TORDI;1
430060;ALVORADA;7;PORTO ALEGRE - R10;CIDADE ALTA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;CIDADE BAIXA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;COCAO;6
430060;ALVORADA;7;PORTO ALEGRE - R10;COHAB C;1
430060;ALVORADA;7;PORTO ALEGRE - R10;COHAB CAMPOS VERDES;1
430060;ALVORADA;7;PORTO ALEGRE - R10;CONJ HAB SALOME;1
430060;ALVORADA;7;PORTO ALEGRE - R10;CORONEL APARICIO BORGES;2
430060;ALVORADA;7;PORTO ALEGRE - R10;COSTA E SILVA;6
430060;ALVORADA;7;PORTO ALEGRE - R10;COSTA SILVA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;CRISTAL;2
430060;ALVORADA;7;PORTO ALEGRE - R10;CRISTO REDENTOR;1
430060;ALVORADA;7;PORTO ALEGRE - R10;DE ABRIL;3
430060;ALVORADA;7;PORTO ALEGRE - R10;DISTRITO;1
430060;ALVORADA;7;PORTO ALEGRE - R10;DISTRITO DE CELMA;1
430060;ALVORADA;7;PORTO ALEGRE - R10;DISTRITO INDUSTRIAL;4
430060;ALVORADA;7;PORTO ALEGRE - R10;DIVA LESSA DE JESUS;1
430060;ALVORADA;7;PORTO ALEGRE - R10;DO BIBI;1
430060;ALVORADA;7;PORTO ALEGRE - R10;DUAS FIGUEIRAS;28
430060;ALVORADA;7;PORTO ALEGRE - R10;DUQUE DE CAXIAS;1
430060;ALVORADA;7;PORTO ALEGRE - R10;ELENITA;2
430060;ALVORADA;7;PORTO ALEGRE - R10;ELSA;14
